work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,remote_ratio,company_size,company_location,employee_residence
2020,MI,FT,Lead Data Scientist,115000,USD,115000,0,L,United Arab Emirates,United Arab Emirates
2022,SE,FT,Machine Learning Engineer,65000,USD,65000,100,S,United Arab Emirates,United Arab Emirates
2022,SE,FT,Machine Learning Engineer,120000,USD,120000,100,S,United Arab Emirates,United Arab Emirates
2021,EN,FT,Big Data Engineer,435000,INR,5882,0,L,Switzerland,India
2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,100,L,India,India
2021,MI,FT,Data Scientist,2500000,INR,33808,0,M,India,India
2021,MI,FT,Lead Data Analyst,1450000,INR,19609,100,L,India,India
2022,EX,FT,Head of Machine Learning,6000000,INR,79039,50,L,India,India
2020,MI,FT,Data Scientist,3000000,INR,40481,0,L,India,India
2021,EN,FT,Data Scientist,2200000,INR,29751,50,L,India,India
2021,MI,PT,3D Computer Vision Researcher,400000,INR,5409,50,M,India,India
2021,SE,FT,Machine Learning Engineer,4900000,INR,66265,0,L,India,India
2020,EN,FT,Data Analyst,450000,INR,6072,0,S,India,India
2021,MI,FT,Data Scientist,700000,INR,9466,0,S,India,India
2021,EN,FT,Data Scientist,2100000,INR,28399,100,M,India,India
2021,SE,FT,Data Science Manager,7000000,INR,94665,50,L,India,India
2021,EN,FT,Data Engineer,1600000,INR,21637,50,M,India,India
2021,EN,FT,Data Engineer,2250000,INR,30428,100,L,India,India
2021,EN,FT,Big Data Engineer,1200000,INR,16228,100,L,India,India
2021,SE,FT,Lead Data Scientist,3000000,INR,40570,50,L,India,India
2022,EN,FT,Data Scientist,1400000,INR,18442,100,M,India,India
2020,MI,FT,Product Data Analyst,450000,INR,6072,100,L,India,India
2022,MI,FT,Data Scientist,2400000,INR,31615,100,L,India,India
2021,MI,FT,Big Data Engineer,1672000,INR,22611,0,L,India,India
2020,EN,FT,Data Science Consultant,423000,INR,5707,50,M,India,India
2022,MI,FT,Business Data Analyst,1400000,INR,18442,100,M,India,India
2021,MI,FT,Data Scientist,1250000,INR,16904,100,S,India,India
2021,EN,FT,Machine Learning Engineer,20000,USD,20000,100,S,India,India
2021,SE,FT,Data Science Manager,4000000,INR,54094,50,L,United States,India
2021,MI,FT,Data Scientist,420000,INR,5679,100,S,United States,India
2021,EX,FT,BI Data Analyst,150000,USD,150000,100,L,United States,India
2022,MI,FT,AI Scientist,200000,USD,200000,100,L,United States,India
2020,MI,FT,Data Engineer,65000,EUR,74130,50,L,Austria,Austria
2022,MI,FT,Research Scientist,59000,EUR,64849,0,L,Austria,Austria
2020,SE,FT,Data Scientist,80000,EUR,91237,0,S,Austria,Austria
2021,MI,FT,Data Scientist,52000,EUR,61467,50,M,Austria,Germany
2022,MI,PT,Data Engineer,50000,EUR,54957,50,L,Germany,Germany
2022,SE,FT,Principal Data Scientist,148000,EUR,162674,100,M,Germany,Germany
2021,EN,FT,Data Science Consultant,65000,EUR,76833,100,S,Germany,Germany
2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,50,L,Germany,Germany
2021,MI,FT,Data Scientist,76760,EUR,90734,50,L,Germany,Germany
2021,EN,FT,Machine Learning Engineer,21000,EUR,24823,50,M,Germany,Germany
2022,SE,FT,Lead Machine Learning Engineer,80000,EUR,87932,0,M,Germany,Germany
2021,EX,FT,Director of Data Science,110000,EUR,130026,50,M,Germany,Germany
2021,SE,FT,Data Analyst,54000,EUR,63831,50,L,Germany,Germany
2021,EN,FT,Data Science Consultant,65000,EUR,76833,0,L,Germany,Germany
2021,EN,FT,Data Engineer,55000,EUR,65013,50,M,Germany,Germany
2021,EN,FT,Data Science Consultant,54000,EUR,63831,50,L,Germany,Germany
2021,EX,FT,Director of Data Science,120000,EUR,141846,0,L,Germany,Germany
2021,SE,FT,Principal Data Scientist,147000,EUR,173762,100,M,Germany,Germany
2021,MI,FT,Data Scientist,76760,EUR,90734,50,L,Germany,Germany
2021,MI,FT,Data Scientist,75000,EUR,88654,50,L,Germany,Germany
2021,SE,FT,Data Analytics Engineer,67000,EUR,79197,100,L,Germany,Germany
2020,MI,FT,Data Scientist,70000,EUR,79833,0,L,Germany,Germany
2020,EN,FT,Data Scientist,55000,EUR,62726,50,S,Germany,Germany
2020,SE,FT,Principal Data Scientist,130000,EUR,148261,100,M,Germany,Germany
2020,EN,PT,ML Engineer,14000,EUR,15966,100,S,Germany,Germany
2020,MI,FT,Data Engineering Manager,51999,EUR,59303,100,S,Germany,Germany
2020,EN,FT,Data Scientist,43200,EUR,49268,0,S,Germany,Germany
2021,MI,FT,Computer Vision Software Engineer,81000,EUR,95746,100,S,United States,Germany
2022,EN,FT,Data Scientist,120000,AUD,86703,50,M,Australia,Australia
2022,EN,FT,Computer Vision Software Engineer,150000,USD,150000,100,S,Australia,Australia
2022,MI,FT,Machine Learning Engineer,121000,AUD,87425,100,L,Australia,Australia
2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,50,M,Belgium,Belgium
2021,MI,FT,Machine Learning Engineer,75000,EUR,88654,100,M,Belgium,Belgium
2021,SE,FT,Computer Vision Engineer,102000,BRL,18907,0,M,Brazil,Brazil
2021,SE,FT,Computer Vision Engineer,24000,USD,24000,100,M,Brazil,Brazil
2021,MI,FT,Data Scientist,69600,BRL,12901,0,S,Brazil,Brazil
2022,SE,FT,Data Scientist,100000,USD,100000,100,M,United States,Brazil
2021,SE,FT,Cloud Data Engineer,160000,USD,160000,100,S,United States,Brazil
2021,EN,PT,AI Scientist,12000,USD,12000,100,S,United States,Brazil
2022,MI,FT,Machine Learning Developer,100000,CAD,78791,100,M,Canada,Canada
2022,MI,FT,Data Analyst,85000,USD,85000,0,M,Canada,Canada
2022,SE,FT,Data Analyst,61300,USD,61300,100,M,Canada,Canada
2022,SE,FT,Data Analyst,130000,USD,130000,100,M,Canada,Canada
